Question Type,Question,Options/Additional Info,Answer

Choose the appropriate answer,The SI unit of length is,a) centimeter b) meter c) kilometer d) millimeter,b) meter

Choose the appropriate answer,Which of the following is used to measure the diameter of a cricket ball?,a) meter scale b) measuring tape c) vernier caliper d) screw gauge,c) vernier caliper

Choose the appropriate answer,The least count of a meter scale is,a) 1 mm b) 1 cm c) 1 m d) 10 cm,a) 1 mm

Fill in the blanks,The SI unit of mass is _______,,kilogram

Fill in the blanks,The SI unit of time is _______,,second

Fill in the blanks,A physical quantity has both _______ and _______,,magnitude and unit

True or False,The meter scale can measure length up to 1 mm accuracy,,True

True or False,Mass and weight are the same physical quantities,,False

Match the following,1. Length | a. kilogram | 2. Mass | b. second | 3. Time | c. meter,,1-c 2-a 3-b

Use the analogy,Meter : Length :: Kilogram : _______,,Mass

Use the analogy,Second : Time :: Meter : _______,,Length

Arrange in sequence,Arrange the following in ascending order: millimeter centimeter meter kilometer,,millimeter < centimeter < meter < kilometer

Assertion and Reason,Assertion: The meter scale cannot measure length less than 1mm | Reason: The least count of meter scale is 1mm,Options: a) Both A and R are true and R explains A b) Both A and R are true but R doesn't explain A c) A is true but R is false d) A is false but R is true,a) Both A and R are true and R explains A

Give very short answer,What is the SI unit of temperature?,,Kelvin

Give very short answer,Define measurement,,Measurement is the comparison of an unknown quantity with a known fixed standard quantity

Give Short Answer,Explain the need for standard units,,Standard units are needed to maintain uniformity in measurements worldwide and avoid confusion in scientific communication

Answer in detail,Explain the different types of physical quantities with examples,,Physical quantities are of two types: 1) Fundamental quantities - These are independent quantities like length mass time etc. 2) Derived quantities - These are quantities derived from fundamental quantities like area volume speed etc.

Higher Order Thinking Skills,If you need to measure the thickness of a sheet of paper which measuring instrument would you use and why?,,I would use a screw gauge because it can measure very small lengths up to 0.01 mm accuracy. A paper's thickness is usually less than 1 mm so we need an instrument with high precision.
